recommendationid,voted_up,playtime_h,content,overall_sentiment,emotion,key_phrase,confidence,needs_verification,aspect_graphics_sentiment,aspect_gameplay_sentiment,aspect_story_sentiment,aspect_performance_sentiment,aspect_value_sentiment,aspect_graphics_evidence,aspect_gameplay_evidence,aspect_story_evidence,aspect_performance_evidence,aspect_value_evidence,keywords
225834587,1,46.3,"P의 거짓의 첫이미지는 우아하고 매혹적인 소울라이크류였다. 특히 약공과 강공으로 차곡차곡 모은 페이블을 통해 기술기를 썼을 때의 파란 이펙트와 날붙이의 갈리는 효과음의 전율은 P의 거짓을 구매하기에 충분한 이유가 되었다.  스토리를 밀며 P의 거짓이 이야기하고 싶은 내용이 내가 어릴 때 보고 자란 피노키오의 모험을 재해석한 것임을 알아냈을 때의 신선한 충격은, 한국 게임의 패러다임이 한 단계 더 높은 차원으로 도약했음을 확신하게 만들었다.  나아가 P의 거짓만의 독특한 무기 조합으로 다양한 챕터와 회차를 밀며 시스템에 익숙해질 때쯤, 손에 익은 무기로 보스를 몰아붙일 때의 폭발적인 쾌감은 시각적·청각적으로 강렬하게 전달된다. 수많은 시행착오 끝에 나만의 완벽한 빌드를 찾아내고 그것이 전투에서 폭발할 때 오는 전율과 카타르시스는, 게이머로서의 완벽한 승리감이 글을 읽는 이들에게도 고스란히 전해지길 바란다.",POSITIVE,SATISFACTION,"매혹적인 소울라이크, 무기 조합 독특",0.85,false,POSITIVE,POSITIVE,POSITIVE,NONE,NONE,파란 이펙트와 효과음의 전율,독특한 무기 조합,피노키오의 모험을 재해석,,,소울라이크@content|무기 조합@content|스토리@content
224574170,1,64.4,"Kingdom come deliverance 2, 33 원정대, 그리고 P의 거짓까지.. 마음 속 깊이 여운을 남기는 이 게임들은 공통적으로 올바른 헤어짐에 대한 숙고를 종용한다.  여느 누구에게나 애도의 순간은 찾아오길 마련이다, 애초의 모든 만남과 길들임의 종착역은 이별, 혹은 사별이기 때문에.  그렇기에 우리는 만남의 순간 너머 헤어짐에 대하여, 길들여진 시간 너머 홀로 서는 것에 대하여 숙고하지 않을 수 없다.  경험이라는 미명 하에 누군가를 상처입히지 않기 위해.",POSITIVE,SATISFACTION,헤어짐에 대한 숙고를 종용하는 게임,0.90,false,NONE,NEUTRAL,POSITIVE,NONE,POSITIVE,,,마음 속 깊이 여운을 남기는 게임,,올바른 헤어짐에 대한 숙고를 종용,여운@content|헤어짐@content
224427036,1,52.0,"본편이랑 DLC 둘 다 진짜 재밌게 했다.  세계관 자체가 꽤 흥미롭고 분위기도 충분히 어두운 편이라 계속 몰입하게 된다.  필드 분위기, 스토리 전개, 보스 디자인까지 전체적으로 완성도 높다는 느낌이 강했다.  보스전도 잘 만들어진 편이고, OST도 상황이랑 잘 맞아서 긴장감 살려주는 역할을 잘 한다.  전투 자체도 타격감 괜찮고, 보스 무력화 됐을 때 딜 우겨넣는 구간은 손맛이 확실히 있다.  무기 쪽도 특이한 시스템이 있는데, 손잡이랑 날을 따로 조합해서 쓰는 구조라서 처음엔 개성은 확실한데 굳이 이렇게까지 나눴어야 하나 싶은 느낌도 조금 있었다. 결국 보스 무기는 분리해서 못 쓰고.. 그래도 결과적으로는 무기 커스터마이징 느낌을 주려는 시도라서 독특한 재미로 남긴 한다.  그리고 리전암 시스템도 그냥 보조 기능 수준이 아니라 전투에서 은근히 도움이 많이 된다.  완전히 메인 딜링은 아니지만 상황에 따라 보조적으로 써먹는 재미가 있어서 이게 오히려 개성으로 살아있는 편이라 재밌",POSITIVE,JOY,"완성도 높은 소울라이크, 한국 게임이라 뿌듯",0.95,false,POSITIVE,POSITIVE,POSITIVE,NONE,POSITIVE,"필드 분위기, 보스 디자인 완성도 높음","전투 타격감, 보스 무력화 손맛",스토리 전개 완성도 높음,,전체적으로 완성도 높은 게임,타격감@technical|보스@content|완성도@value
224414729,1,34.0,게임이 완성도가 너무 높다.  한국이 싱글 게임을 이 정도 수준으로 만들 수 있다고?  스토리/비주얼/타격감 죽이고 난이도 딱 적당하고 좋네.    개인적으로 무기 업그레이드 자원이 부족해서 무기가 종류는 많지만 실질적으로 쓸 수 있는게 제한되는건 좀 아쉽. 다회차를 유도한 시스템인거 같긴한데 다회차는 스토리 보고 하는 편이라 좀 아쉽,POSITIVE,SATISFACTION,"한국 게임 수준, 스토리/비주얼/타격감 최고",0.90,false,POSITIVE,POSITIVE,POSITIVE,NONE,NEGATIVE,비주얼 죽이고,타격감 죽이고 난이도 적당,스토리 좋네,,무기 업그레이드 자원 부족 아쉽,타격감@technical|스토리@content|난이도@content
224410989,1,47.3,팬 게임도 예술이 될 수 있구나,POSITIVE,SURPRISE,팬 게임도 예술이 될 수 있다,0.80,false,NONE,NEUTRAL,NEUTRAL,NONE,POSITIVE,,,,,팬 게임도 예술이 될 수 있구나,예술@value
224336321,1,45.1,"이걸 평가를 어떻게 해야하나 한참 고민했는데 긍정평가 남기기로함. 26시간 걸려서 1회차 클리어하고 이름없는인형까지 잡았는데 개운하지가 않음. 필드는 대체로 재밌었고 흥미로웠으나 중간중간 뻔한 함정, 모르고 밟았다가 짜증나는 함정, 엿먹어보라고 만들어놓은 악의가 느껴지는 구간들이 뇌절에 가깝다고 느껴져 유쾌함보다는 불쾌함쪽에 가까웠음. 한두번 어쩌다가 걸려야 죽어도 유쾌하지 끝도 없으니까 뇌절 같다고 느껴짐. 게다가 대체로 그에 대한 보상은 진짜 별거 아니라서 허탈감이 있고. 그래도 미려한 맵디자인과 흥미로운 세계관, 아름다운 음악과 꽤 매력있는 캐디들, 몇몇 빼고는 적절한 난이도의 보스들 때문에 불쾌하면서도 꽤나 재밌는 게임이었다고 생각함",MIXED,DISAPPOINTMENT,"함정 뇌절, 불쾌하지만 재밌는 게임",0.85,false,POSITIVE,NEGATIVE,POSITIVE,NONE,NEUTRAL,미려한 맵 디자인,"뻔한 함정, 짜증나는 함정, 뇌절 구간",흥미로운 세계관,,불쾌하면서도 꽤나 재밌는 게임,함정@content|맵디자인@content|세계관@content
224814259,1,41.6,이 게임을 이제야 하게 되네  진작 할 걸 ㅋㅋ  개꿀잼,POSITIVE,JOY,이제야 하게 된 꿀잼 게임,0.95,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,개꿀잼,,,진작 할 걸,꿀잼@content
224803401,1,52.9,9/10    소울라이크지만 세계관 스토리가 뛰어나서 아주 재미있는 영화 한편을 본 것 같다,POSITIVE,SATISFACTION,스토리 뛰어난 소울라이크,0.90,false,NONE,POSITIVE,POSITIVE,NONE,NONE,,아주 재미있는 영화 한편,세계관 스토리가 뛰어나서,,,소울라이크@content|스토리@content
224727954,1,30.9,맵 곳곳에서 다크소울 시리즈의 느낌이 난다,NEUTRAL,NEUTRAL,다크소울 느낌,0.80,false,NONE,NEUTRAL,NONE,NONE,NONE,,다크소울 시리즈의 느낌,,,,다크소울@content
224651061,1,24.3,블본느낌도 있고 너무 좋아요~ 갑툭튀요소는 좀.. 많이 놀랬습니다 ㅋㅋ 진짜 심장이 철렁...  블본했을 생각이 나서 너무 재밌게 했습니다. 시간가는줄 모르겠습니다!!,POSITIVE,SURPRISE,"블본 느낌, 갑툭튀 조심",0.85,false,NONE,POSITIVE,NONE,NONE,NONE,,너무 좋아요,,,,블본@content|갑툭튀@content
224648619,1,173.9,8회차돌린 유저입니다.  인생 첫 소울라이크게임이고 2편 기대중입니다. dlc 무조건 같이사세요  스토리가 매우 깊고 주변시야에 들어오는 그래픽이 엄청난 여운을 줍니다.,POSITIVE,SATISFACTION,"인생 첫 소울라이크, 2편 기대",0.90,false,POSITIVE,POSITIVE,POSITIVE,NONE,POSITIVE,주변시야에 들어오는 그래픽,인생 첫 소울라이크게임,스토리가 매우 깊고,,dlc 무조건 같이사세요,소울라이크@content|그래픽@technical|DLC@value
224217769,1,231.1,맵다. 맛있게 맵다.,POSITIVE,JOY,맵지만 맛있는 게임,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,맵다. 맛있게 맵다.,,,,맵다@content
224184223,1,41.8,아주 친절하고 불쾌함 없는 소울라이크. 본가급 퀄리티입니다.,POSITIVE,SATISFACTION,친절하고 퀄리티 좋은 소울라이크,0.95,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,친절하고 불쾌함 없는 소울라이크,,,본가급 퀄리티,소울라이크@content|퀄리티@value
224152436,1,135.8,DLC 3만원 개혜자,POSITIVE,JOY,DLC 가성비 최고,0.90,false,NONE,NONE,NONE,NONE,POSITIVE,,,,,DLC 3만원 개혜자,DLC@content|혜자@value
224110539,1,25.4,투척템 잘쓰에요,POSITIVE,SATISFACTION,투척 아이템 활용도 높음,0.85,false,NONE,POSITIVE,NONE,NONE,NONE,,투척템 잘쓰에요,,,,투척템@content
224099473,1,59.1,그냥 스토리도 잘짜여있고 모션도 맛도리라 걍재밋음,POSITIVE,JOY,"스토리, 모션 모두 훌륭하고 재밌음",0.90,false,NONE,POSITIVE,POSITIVE,NONE,NONE,,모션도 맛도리라 걍재밋음,스토리도 잘짜여있고,,,스토리@content|모션@technical|재밌음@other
223960132,1,131.2,"재미와 고통이 동시에 존재, 전 재미 있습니다.",POSITIVE,JOY,재미와 고통이 공존하지만 재미있음,0.90,false,NONE,POSITIVE,NONE,NONE,NEUTRAL,,재미와 고통이 동시에 존재,,,,재미@content|고통@content
223933919,1,61.2,한국 소울류겜을 찾고있다면 해야하는 1순위 게임,POSITIVE,SATISFACTION,한국 소울류 게임 1순위,0.95,false,NONE,POSITIVE,NONE,NONE,POSITIVE,,한국 소울류 겜 1순위,,,해야하는 1순위 게임,소울류@content|한국@other
223883874,1,17.2,"닼소 2는 안해봤는데... 닼소3, 엘든링, 세키로보다도 패링타이밍이 어렵냐... 다른 사람들은 쉽다는데 프롬에 절여진 뇌라그런지 어렵다이 ㅜㅠ",NEGATIVE,DISAPPOINTMENT,패링 타이밍이 너무 어려움,0.80,false,NONE,NEGATIVE,NONE,NONE,NONE,,패링타이밍이 어렵냐...,,,,패링@content|난이도@content
223861007,1,86.2,원조집과는 또 다른 맛이 있다,POSITIVE,JOY,원조집과는 다른 맛,0.85,false,NONE,POSITIVE,NONE,NONE,NONE,,또 다른 맛이 있다,,,,맛@content
223757336,1,47.8,후속작이 기대가 되는 게임.,POSITIVE,SATISFACTION,후속작이 기대되는 게임,0.90,false,NONE,NONE,NONE,NONE,NONE,,,,,,후속작@content|기대@other
223694475,1,47.3,패링 타이밍 개빡시네,NEGATIVE,ANGER,패링 타이밍 너무 어려움,0.90,false,NONE,NEGATIVE,NONE,NONE,NONE,,패링 타이밍 개빡시네,,,,패링@content
223665826,1,24.1,"음 일단 사놓고 한참 후에 플에이 하는데.. 난이도 불합리하다고 하던것들은 다 사라진듯... 스카우트 난이도로 하는데도 그저 그렇다.  근데 갑자기 난이도가 수직상승하는 구간이 있긴하다.. 소울 라이크 아류작이긴 한데, 굉장히 깔끔한 분위기에, 다크소울, 블러드 본, 세키로를 절묘하게 섞어놨다...  퍼펙트 방어를 해서 그로기를 시킨다는거나 (세키로) 줄어든 피를 공격으로 회복하거나 (블허드 본), 물론 오리지널리티도 잇다. 무기를 손잡이와 날로 구분해 조합하는것..   분위기는 블러드본의 의 런던 느낌과, 스팀 펑크 분위기를 절묘하게 섞어놨다. 초반 키 설정 좀 이상해서.. 나는 L3로 달리기를.. 달리는 중에 점프는 구르기 버튼으로 변경해줬다. 소울라이크는 타격감이 중요한데... 다크소울처럼 약간 먹먹한 타격감이 아니라.. 굉장히 찰진 타격감을 구현해나서 좋다...  다른것도 다 좋은데, 특히나 좋은게 OST.  역시나 DJMAX회사답게 엄청나게 좋은 음악들이 가득하다... 초반",POSITIVE,SATISFACTION,"소울류 믹스, 찰진 타격감, OST 훌륭",0.95,false,POSITIVE,POSITIVE,NONE,NONE,POSITIVE,"깔끔한 분위기, 스팀 펑크 분위기",소울 라이크 절묘하게 섞어놓음,,,최고의 DLC는 사운드 트랙,소울라이크@content|타격감@content|OST@content
223632515,1,36.4,게임 개 잘 만들었네  스토리 너무 감동적이어서 좋았고 엔딩 이후 본편에 변화가 생긴 디테일도 너무 좋았음  전투 씬도 너무 맘에 들었습니다,POSITIVE,JOY,"스토리 감동, 전투씬 만족",0.90,false,NONE,POSITIVE,POSITIVE,NONE,NONE,,전투 씬도 너무 맘에 들었습니다,스토리 너무 감동적이어서 좋았고,,,스토리@content|전투@content
223630005,1,207.1,아주 재밌었습니다!,POSITIVE,JOY,아주 재밌었다!,0.95,false,NONE,POSITIVE,NONE,NONE,NONE,,아주 재밌었습니다!,,,,재미@content
223593139,1,31.8,"오랜만에 소울라이크가 떙겨서 시리즈중 뭘 할까 고르던 도중 예전에 사놓고 좀 맘에 안들어서 묵혀놨던 피구라를 이제야 클리어 했네요  장점은 좋은 최적화와 미려한 비주얼, 소울시리즈 보다는 스토리 내러티브가 괜찮고 직관적인 맵 구성과 다회차 요소가 꽤 괜찮다는 점, 보스,필드 난이도도 꽤나 적절하게 책정되어 소울류 입문하기 좋다 정도   단점이라면 직관적이고 단순한 맵 구성에 탐색시 주는 보상들이 의미없는 소모품들만 뿌려놔 필드가 재미없다는 점   플레이 할수록 꽤나 정성들여 만든게 보이고 비주얼적으로나 게임성으로나 소울라이크중에선 제일 괜찮다는 느낌이 들었음   요즘 피곤한 게임이 싫어 dlc 플레이 예정은 아직 없으나 나중에 기회가 된다면 플레이해볼 의향은 있습니다",POSITIVE,SATISFACTION,"비주얼, 스토리, 최적화 좋음. 필드는 아쉬움",0.90,false,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,미려한 비주얼,소울류 입문하기 좋다,스토리 내러티브가 괜찮고,좋은 최적화,보상들이 의미없는 소모품들만,소울라이크@content|최적화@technical|비주얼@content
223540597,1,55.0,"더서지1,2, (구)로오폴, 어나더크랩 등등 각종 소울 아류작을 많이 했지만 그중에서 최고의 아류작 다만 네오위즈 평단 35000원 3000주 주주인 나의 특성상 네오위즈가 지금 수익권이었으면 훨씬 재밌었을거 같음  -64800원짜리 게임을 3000만원 주고 한 중년 게이머 올림- 주식 물려서 DLC는 못해봄 양전하면 살 예정",POSITIVE,MIXED,"소울류 아류작 중 최고, 주식 손실로 DLC 구매 보류",0.80,false,NONE,POSITIVE,NONE,NONE,NEGATIVE,,최고의 아류작,,,주식 물려서 DLC 못해봄,소울류@content|아류작@content|주식@other
223499718,1,55.1,상당히 맛있는 소울게임  잘 만들었다,POSITIVE,JOY,맛있는 소울게임,0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,상당히 맛있는 소울게임,,,,소울게임@content
223470549,1,69.1,잘 만든 좋은 게임이란 건 팩트. 근데 그 성공이 결국 프롬의 시스템을 고대로 베껴서 가져왔기에 가능했단 점도 팩트. 후속작에서는 본인들만의 독창적인 게임을 만들기 바랍니다. 맵도 좀 성의있게 만들고. 너무 일자형이라 탐험하는 재미가 없잖아요.,MIXED,NEUTRAL,"프롬 시스템 모방, 맵 디자인 아쉬움",0.85,false,NONE,NEGATIVE,NONE,NONE,NONE,,"프롬 시스템 베낌, 맵 일자형",,,,프롬@content|시스템@technical|맵@content
223429903,1,19.8,점프좀 재데로 만들어 내가 점프맵 하냐 대성당 진짜 마지막까지 와서 점프 안되면 처음부터 다시하는 그런거 할꺼면 점프좀 길게 하게 해주던가 점프 겁나짧아서 내가 뭔 소울라이크를 하나 점프맵을 하나 모르겠다 진짜 완전 끝에서 하는거 아니면 통과가 안되서 거기서 30분은 있었다 진짜 내가 생전 안하던 난이도 조절까지 하면서 했는데 진짜 그거말고도 구르기도 누르자마자 나가는게 아니라 던지는거 피하기도 어려워서 계속 낙사하고 진짜 좀,NEGATIVE,ANGER,"점프, 구르기 조작 불만, 낙사 잦음",0.90,false,NONE,NEGATIVE,NONE,NONE,NONE,,"점프, 구르기 조작 불편",,,,점프@technical|구르기@technical|낙사@content
223372359,1,57.3,"개인적으로 소울류중 엘든링-스콜라-피의거짓 3등!  이유는 일단 편의성이 소울류중 미쳤음 템,퀘,길 딱히 신경안써도 되서 편해요 그렇다고 재미가 없지않음 이게중요  보스전은 말할거 없이 버릴보스가 더적습니다.  편의성이 좋은만큼 소울입문작으로 가장 좋을듯해요",POSITIVE,SATISFACTION,"소울류 3등, 편의성 최고, 보스전 훌륭",0.90,false,NONE,POSITIVE,NONE,NONE,NONE,,"편의성 좋음, 보스전 훌륭",,,,소울류@content|편의성@technical|보스전@content
